mes,total_NA,constantes,outliers,norm_NA,norm_const,norm_out,score
Transito Enero 2024.csv,265941,1,0,0,0,0,1
Transito Mayo 2024.csv,269892,1,0,0.008757114740145752,0,0,0.9970809617532848
Transito Marzo 2024.csv,277130,1,0,0.02479963473234392,0,0,0.9917334550892187
Transito Abril 2024.csv,320531,1,0,0.12099491107683033,0,0,0.9596683629743898
Transito Febrero 2024.csv,383513,1,0,0.2605901023104066,0,0,0.9131366325631978
Transito Octubre 2024.csv,302241,2,0,0.08045640725570509,1,0,0.6398478642480983
Transito Noviembre 2024.csv,324095,2,0,0.12889426742557228,1,0,0.6237019108581425
Transito Diciembre 2024.csv,331730,2,0,0.14581671010869374,1,0,0.6180610966304354
Transito Septiembre 2024.csv,388390,2,0,0.271399631186056,1,0,0.5762001229379814
Transito Agosto 2024.csv,519448,2,0,0.5618805078284306,1,0,0.47937316405718977
Transito Julio 2024.csv,603712,2,0,0.7486457612993599,1,0,0.4171180795668801
Transito Junio 2024.csv,717117,2,0,1,1,0,0.33333333333333337
